brand,product_name,barcode,image_url,category
,20 Large Eggs,,,Uncategorized
,A 3 Lemon Face Cream 4-Ever Bright 500 ml,,,Hair & Beauty Products
,A 3 Lemon Lotion 4-Ever Bright 500 ml,,,Hair & Beauty Products
,A 3 Lemon Soap Extra Forte 100 gr,,,Toiletries & Personal Care
,Abacha,,https://duudafricanfoods.com/wp-content/uploads/2022/09/e4a21145-0b55-436b-95fe-b64693a72400.jpeg,Uncategorized
,Abacha Tarpoca,,,Uncategorized
,Aboniki Balm,,https://duudafricanfoods.com/wp-content/uploads/2021/11/Aboniki_Balm_25g_1400x.JPG.webp,Hair & Beauty Products
Unbranded,Achi Powder 60 g,,,Uncategorized
,Achi Powder – 60grms,,https://duudafricanfoods.com/shop/achi-powder/,Uncategorized
,Ades Plantain Chips Sweet 12 x 35g,,,Snacks & Confectionery
,Adom Foods Natural Spice African,,,Spices/Condiments/Seasonings
,Af jollof rice seasoning 100g,,,Rice
,Africa Best Kids Organics Conditioning Shampoo 12 oz,,,Hair & Beauty Products
Tropical Sun,Ail à la provençale,3382510012252,https://images.openfoodfacts.org/images/products/338/251/001/2252/front_fr.18.400.jpg,Uncategorized
Tropical Sun,All purpose,5029788603789,https://images.openfoodfacts.org/images/products/502/978/860/3789/front_fr.8.400.jpg,Uncategorized
Grace,All Purpose Seasoning,9338565434635,,Spices/Condiments/Seasonings
,alligator pepper,,,Spices/Condiments/Seasonings
Tropical Sun,ALOE & GREEN TEA,8712857008208,https://images.openfoodfacts.org/images/products/871/285/700/8208/front_fr.24.400.jpg,Uncategorized
Grace,Aloe Refresh,5035139217826,https://images.openfoodfacts.org/images/products/503/513/921/7826/front_en.9.400.jpg,Uncategorized
Grace,Aloe Vera Drink,3463359004544,https://images.openfoodfacts.org/images/products/346/335/900/4544/front_fr.4.400.jpg,Drinks
Grace,ALOE VERA DRINK white real aloe pieces,5035139213644,https://images.openfoodfacts.org/images/products/503/513/921/3644/front_fr.56.400.jpg,Drinks
,AmaWonda Ginger and Garlic 100grms,,,Uncategorized
,Anti bump spray 133ml,,,Uncategorized
,Apple Hair Treatment With Menthol & Tea Tree Oil,,,Hair & Beauty Products
,Apple Perfumed Petroleum Jelly With Coco Butter,,,Hair & Beauty Products
Tropical Sun,Aroma flavour stock powder,5029788174999,https://images.openfoodfacts.org/images/products/502/978/817/4999/front_fr.8.400.jpg,Uncategorized
,Asiko Ripe Plantain Chips,,https://duudafricanfoods.com/wp-content/uploads/2021/11/WBIS-42-69-2-1-800x800.jpg,Snacks & Confectionery
,Asli Golden Basmati Rice,,,Rice
,Ayoola pounded yam,,https://duudafricanfoods.com/wp-content/uploads/2025/04/Image-161-450x450.jpg,Flour & Starches
Ayoola,Ayoola Pounded Yam Flour,,,Flour & Starches
,Banga leaf 20grms,,,Uncategorized
,Banga spices 50grms,,,Spices/Condiments/Seasonings
,Banku mix,,https://duudafricanfoods.com/shop/banku-mix/,Flour & Starches
Tropical Sun,Bar-B-Que Seasoning,5029788602744,https://images.openfoodfacts.org/images/products/502/978/860/2744/front_en.10.400.jpg,Spices/Condiments/Seasonings
Dunn's River,Barbeque Seasoning,5012389670038,https://images.openfoodfacts.org/images/products/501/238/967/0038/front_en.36.400.jpg,Spices/Condiments/Seasonings
,Barcacuda fillet Sachet 100grms,,,Uncategorized
,Bay leaf 50grms,,,Spices/Condiments/Seasonings
Dunn's River,BBQ SEASONING,5012389100245,https://images.openfoodfacts.org/images/products/501/238/910/0245/front_en.7.400.jpg,Spices/Condiments/Seasonings
,Beans Flour 1.5kg,,,Flour & Starches
,Beef Biscuit bone arrow (2pcs),,,Meat/Seafood & Poultry
Grace,Beef flavored bouillon cubes,0863939000325,,Meat/Seafood & Poultry
,Beef Honey comb 1kg,,,Meat/Seafood & Poultry
,Beef liver,,,Meat/Seafood & Poultry
,Beef Neck 1kg,,,Meat/Seafood & Poultry
,Beef Shin Cut – Frozen,,,Meat/Seafood & Poultry
,Beef tongue 1kg,,,Meat/Seafood & Poultry
,Big mama pounded yam 9kg,,,Flour & Starches
,Bigen for hair nr 59 oriental black 10/6 gr,,,Hair & Beauty Products
,Bigi mama peanut butter 500g,,,Snacks & Confectionery
,Bitter Kola 120grms,,,Uncategorized
,Bitter Leaves,,,Uncategorized
,Black Eyed Beans,,,Beans & Legumes
Baron,Blazing Hot Pepper Sauce,0733553824051;733553824051,,Spices/Condiments/Seasonings
,Blended Aiden fruit,,,Spices/Condiments/Seasonings
,Blended Beans – 1KG,,,Beans & Legumes
,Blended Hot Pepper,,,Spices/Condiments/Seasonings
,Blue Band Butter 450grms,,https://duudafricanfoods.com/wp-content/uploads/2025/03/Image-16-450x450.jpg,Dairy & Eggs
,Blue Magic Bergamot 340g,,,Hair & Beauty Products
,Blue Magic Conditioning Hair Dress 340g,,,Hair & Beauty Products
,Blue Magic Hair Food 340g,,,Hair & Beauty Products
,Blue Magic Olive Oil 390g,,,Hair & Beauty Products
,Blue Magic Organ Oil Herbal Conditioner 12 oz,,,Hair & Beauty Products
,Blue Magic Organics Indian Hemp 12 oz,,,Hair & Beauty Products
,Blue Magic Super Sure Gro 12 oz,,,Hair & Beauty Products
,Blue Ocean prawns,,,Meat/Seafood & Poultry
,Blue Seal Vaseline Pure Petroleum Jelly 400ml,,,Hair & Beauty Products
Grace,Boisson à l'aloe vera litchi,5035139218137,https://images.openfoodfacts.org/images/products/503/513/921/8137/front_fr.25.400.jpg,Uncategorized
,Bonga fillet sachet 100grms,,,Meat/Seafood & Poultry
,Brazillian Hair Oil Keratin Treatment 171ml,,,Hair & Beauty Products
,BSQ hand and body lotion 500ml,,,Hair & Beauty Products
,Calabash Nut Meg,,,Uncategorized
,Cameroon pepper 200grms,,,Spices/Condiments/Seasonings
,Cantu Avocado Hydrating Conditioner 400ml,,,Hair & Beauty Products
,Cantu Avocado Hydrating Conditioner for Natural Hair 400ml,,,Hair & Beauty Products
,Cantu Avocado Leave-In Repair Cream 12 oz,,,Hair & Beauty Products
,Cantu Care for Kids Styling Custard 227g,,,Hair & Beauty Products
,Cantu Care for Kids Styling Custard 8 oz,,,Hair & Beauty Products
,Cantu Flaxseed Smoothing Shampoo 400ml,,,Hair & Beauty Products
,Cantu Guava Treatment Serum 118ml,,,Hair & Beauty Products
,Cantu Shea Butter (Grow Strong Strengthening Treatment) 173g,,,Hair & Beauty Products
,Cantu Shea Butter (Leave-In Conditioning Repair Cream) 453g,,,Hair & Beauty Products
